,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Patel, Dhruvil",JR-3,North Central (Ill.),29:47.30,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
1,2,"Norvell, Matthew",JR-3,North Central (Ill.),30:02.05,2018 Wash U Invite,"Mar 31, 2018"
2,3,"McKenna, Nolan",JR-3,North Central (Ill.),30:03.68,2018 Wash U Invite,"Mar 31, 2018"
3,4,"Baldonado, Al",SO-2,North Central (Ill.),30:04.01,2018 Wash U Invite,"Mar 31, 2018"
4,5,"Osmulski, Matt",SO-2,North Central (Ill.),30:05.32,2018 Wash U Invite,"Mar 31, 2018"
5,6,"Sismelich, Steven",SR-4,North Central (Ill.),30:36.63,2018 Wash U Invite,"Mar 31, 2018"
6,7,"Makrounis, Alex",FR-1,North Central (Ill.),30:49.03,2018 Don Church Twilight,"Apr 21, 2018"
7,8,"Dina, Dominic",SO-2,North Central (Ill.),31:15.26,2018 Don Church Twilight,"Apr 21, 2018"
8,9,"Jaskowiak, Jacob",JR-3,North Central (Ill.),31:15.49,2018 Don Church Twilight,"Apr 21, 2018"
9,10,"Ahmed, Suneed",JR-3,Carthage,31:44.69,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
10,11,"Williams, Rob",JR-3,Augustana (Ill.),31:48.72,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
11,12,"Engberg, Logan",JR-3,Carthage,31:52.00,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
12,13,"Bailon, Argeni",SR-4,North Central (Ill.),31:52.50,CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Shroda, Bjorn",SO-2,North Central (Ill.),32:00.66,North Central College Dr. Keeler Meet,"May 10, 2018"
14,15,"Claus, Kevin",SR-4,Augustana (Ill.),32:15.64,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
15,16,"Cobb, Mikey",JR-3,North Central (Ill.),32:17.37,2018 Don Church Twilight,"Apr 21, 2018"
16,17,"Mohammed, Nebil",JR-3,North Central (Ill.),32:23.71,2018 Don Church Twilight,"Apr 21, 2018"
17,18,"Rector, James",SR-4,North Central (Ill.),32:27.78,2018 Wash U Invite,"Mar 31, 2018"
18,19,"Beutel, Alec",SO-2,North Central (Ill.),32:34.54,2018 Don Church Twilight,"Apr 21, 2018"
19,20,"Oats, Connor",SR-4,North Central (Ill.),32:53.37,North Central College Dr. Keeler Meet,"May 10, 2018"
20,21,"Spivey, Aaron",JR-3,North Central (Ill.),33:14.22,2018 Wheaton Invitational,"Apr 7, 2018"
21,22,"Dorsey, Ronan",SR-4,Illinois Wesleyan,33:23.76,2018 Don Church Twilight,"Apr 21, 2018"
22,23,"Castaneda, Juan",JR-3,Elmhurst,33:29.40,CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Olenek, Thomas",FR-1,Carthage,33:41.80,CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Hall, Chase",SR-4,North Central (Ill.),33:44.80,NCC Gregory Final Qualifier,"May 16, 2018"
