,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Embretson, Aryn",JR-3,Wheaton (Ill.),35:59.38,"Hillsdale ""GINA"" Relays - 52nd Edition","Apr 26, 2018"
1,2,"Drake, Victoria",SR-4,Illinois Wesleyan,36:17.69,North Central College Dr. Keeler Meet,"May 10, 2018"
2,3,"Oechsle, Hannah",SO-2,Wheaton (Ill.),38:35.12,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Cole, Jillian",SR-4,Illinois Wesleyan,38:46.93,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Penn, Hannah",JR-3,Augustana (Ill.),39:03.59,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
5,6,"Bailey, Megan",JR-3,Wheaton (Ill.),39:24.27,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Swietlik, Clare",SR-4,Carroll,39:29.56,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Jones, Amanda",FR-1,Carroll,39:45.75,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Mocogni, Monica",SR-4,Illinois Wesleyan,39:48.87,2018 Wash U Invite,"Mar 31, 2018"
9,10,"Garcia, Carol",JR-3,Augustana (Ill.),40:21.77,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
10,11,"Jourdan, Emma",FR-1,North Central (Ill.),40:44.75,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Jepson, Brianna",SR-4,Augustana (Ill.),40:44.86,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
12,13,"McLaughlin, Allyson",SO-2,North Central (Ill.),41:15.48,CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"North, Katie",FR-1,Illinois Wesleyan,41:21.32,CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Schoenecker, Rachel",SO-2,Illinois Wesleyan,41:30.31,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Kupiec, Julie",FR-1,North Central (Ill.),41:38.26,Benedictine Relays and Invitational,"Apr 13, 2018"
16,17,"Spadlowski, Elita",FR-1,Elmhurst,41:56.07,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Hartman, Payton",SO-2,North Central (Ill.),42:00.48,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Monbrod, Marisa",JR-3,Carthage,42:10.17,Benedictine Relays and Invitational,"Apr 13, 2018"
19,20,"Reamer, Rachel",SR-4,Wheaton (Ill.),42:46.75,CCIW Outdoor Track & Field Championships,"May 4, 2018"
20,21,"Scull, Kaelyn",SR-4,Carthage,43:50.37,Benedictine Relays and Invitational,"Apr 13, 2018"
21,22,"Carncross, Abby",SR-4,Carroll,45:20.91,St. Norbert Quad,"Apr 28, 2018"
22,23,"Michalski, Julia",FR-1,Carroll,48:27.10,St. Norbert Quad,"Apr 28, 2018"
23,24,"Scanlan, Sierra",SR-4,Augustana (Ill.),49:27.18,CCIW Outdoor Track & Field Championships,"May 4, 2018"
