,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Ezewuzie, Favor",SO-2,Wheaton (Ill.),14.37,"Hillsdale ""Last-Chance"" Classic w/ Multi","May 9, 2018"
1,2,"Wajner, Sofia",SO-2,Augustana (Ill.),14.87,Benedictine Relays and Invitational,"Apr 13, 2018"
2,3,"McGee, Abby Grace",JR-3,Wheaton (Ill.),15.06,NCC Gregory Final Qualifier,"May 16, 2018"
3,4,"Ruud, Elise",SO-2,North Park,15.31,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Harris, Milia",SO-2,North Central (Ill.),15.34,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,5,"Kitchen, Nicole",SR-4,Wheaton (Ill.),15.34,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Sutton, Tess",FR-1,Wheaton (Ill.),15.51,North Central College Dr. Keeler Meet,"May 10, 2018"
7,8,"Dolan, Dani",SR-4,Carthage,15.55,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Vignos, Alyssa",FR-1,Millikin,16.10,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Sanders, Makenna",SR-4,Wheaton (Ill.),16.28,CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Castellanos, Kayla",SO-2,North Central (Ill.),16.41,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Wyman, Kelsey",FR-1,Illinois Wesleyan,16.49,Monmouth Midweek,"Apr 24, 2018"
12,13,"Wilkinson, Cora",FR-1,Illinois Wesleyan,16.58,DePauw Outdoor Invitational,"Apr 7, 2018"
13,14,"Foxhoven, Cassidy",JR-3,Wheaton (Ill.),16.77,CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Hogenkamp, Audrey",JR-3,Augustana (Ill.),16.84,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Edington, Flower",SO-2,Illinois Wesleyan,16.94,CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Baltudis, Anna",FR-1,North Central (Ill.),17.29,Bellarmine Classic 2018,"Apr 21, 2018"
17,18,"Roschi, Rachel",SO-2,Carthage,17.48,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Rippel, Celina",FR-1,Augustana (Ill.),17.51,UW-Platteville Open,"Apr 7, 2018"
19,20,"Hartwig, Jessi",SR-4,Carroll,17.60,CCIW Outdoor Track & Field Championships,"May 4, 2018"
20,21,"Fischer, Sierra",SO-2,Carroll,17.66,CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Donnelly, Erin",FR-1,North Central (Ill.),18.31,CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Walsh, Lauren",FR-1,North Central (Ill.),18.39,North Central College Dr. Keeler Meet,"May 10, 2018"
23,24,"Bartlein, Hayley",FR-1,Carroll,18.44,Bellarmine Classic 2018,"Apr 21, 2018"
24,25,"Jordan, Kaitlyn",FR-1,Elmhurst,18.65,CCIW Outdoor Track & Field Championships,"May 4, 2018"
