,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Johnson, Michael",JR-3,Augustana (Ill.),10.68,Augustana Twilight,"May 17, 2018"
1,2,"Ogbebor, Victor",SR-4,Elmhurst,10.73,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Zenon, Christian",JR-3,Millikin,10.89,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Aldridge, Travon",SR-4,Augustana (Ill.),10.94,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Patterson, Noah",FR-1,Augustana (Ill.),11.02,UW-Platteville Open,"Apr 7, 2018"
5,6,"Jeffries, Ansel",FR-1,Carthage,11.03,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Garner, Shawntrel",SR-4,Carthage,11.06,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
7,8,"Findlay, Maceo",SO-2,North Central (Ill.),11.09,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Townsend, London",SR-4,Carthage,11.11,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Allen, Jackson",FR-1,Millikin,11.12,CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Cornelius, Courtland",FR-1,Carthage,11.13,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Harvey, Marqus",FR-1,Illinois Wesleyan,11.15,Augustana Twilight,"May 17, 2018"
12,13,"Cruz, Brandon",FR-1,North Central (Ill.),11.18,2018 Wheaton Invitational,"Apr 7, 2018"
13,14,"Kallien, Robert",JR-3,North Central (Ill.),11.21,Benedictine Relays and Invitational,"Apr 13, 2018"
14,15,"Yamamoto, Josh",SR-4,Augustana (Ill.),11.25,Augustana Viking Olympics,"Mar 29, 2018"
15,16,"Siaw, Whitaker",SO-2,Augustana (Ill.),11.27,UW-Platteville Open,"Apr 7, 2018"
16,17,"Ojomu, Mark",SR-4,North Park,11.35,Arnie Robinson Invitational,"Apr 6, 2018"
17,18,"Gargano, Chris",SO-2,Carthage,11.36,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
18,18,"Bisco, Jake",SO-2,Carroll,11.36,St. Norbert Quad,"Apr 28, 2018"
19,20,"Kohler, Bradley",FR-1,Augustana (Ill.),11.38,UW-Platteville Open,"Apr 7, 2018"
20,21,"Bailey, Nate",FR-1,North Central (Ill.),11.40,CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),11.45,CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Lidinsky, Alec",SR-4,Augustana (Ill.),11.46,Augustana Twilight,"May 17, 2018"
23,24,"Enstrom, Logan",JR-3,Augustana (Ill.),11.47,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
24,25,"Tahaney, Jake",SO-2,Elmhurst,11.49,2018 EIU Big Blue Classic,"Mar 30, 2018"
