,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"O'Keefe, Dan",SR-4,North Central (Ill.),9:07.78,NCC Gregory Final Qualifier,"May 16, 2018"
1,2,"Wilkerson, Brandon",JR-3,Augustana (Ill.),9:12.30,North Central College Dr. Keeler Meet,"May 10, 2018"
2,3,"Spykstra, Seth",SR-4,Wheaton (Ill.),9:23.01,NCC Gregory Final Qualifier,"May 16, 2018"
3,4,"Irvine, Ian",SO-2,North Central (Ill.),9:23.93,North Central College Dr. Keeler Meet,"May 10, 2018"
4,5,"Jones, Jonah",FR-1,Wheaton (Ill.),9:33.40,NCC Gregory Final Qualifier,"May 16, 2018"
5,6,"Michael, Zack",SO-2,North Central (Ill.),9:33.89,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Massot, Seth",SO-2,Wheaton (Ill.),9:35.35,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Johnson, Mitchell",SR-4,Augustana (Ill.),9:36.23,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Santana, David",SR-4,North Central (Ill.),9:36.34,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,9,"Licari, Nick",SO-2,North Central (Ill.),9:36.34,Bellarmine Classic 2018,"Apr 21, 2018"
10,11,"Fish, David",SR-4,Carthage,9:43.90,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
11,12,"Rosales, Alejandro",SR-4,North Central (Ill.),9:47.07,2018 Don Church Twilight,"Apr 21, 2018"
12,13,"Borrowman, Seth",JR-3,Illinois Wesleyan,9:51.15,2018 Wash U Invite,"Mar 31, 2018"
13,14,"Andersen, Luke",SR-4,Wheaton (Ill.),9:54.85,CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Pommier, Gabriel",FR-1,North Central (Ill.),9:55.71,2018 Wash U Invite,"Mar 31, 2018"
15,16,"Mankowski, Michael",SO-2,Augustana (Ill.),9:56.44,CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Madoche, Tyler",FR-1,Carroll,9:56.72,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Trujillo, Miles",JR-3,Wheaton (Ill.),10:04.20,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Esela, Jackson",FR-1,North Central (Ill.),10:04.61,North Central College Dr. Keeler Meet,"May 10, 2018"
19,20,"Raybould, Steven",SO-2,Illinois Wesleyan,10:07.23,Rhodes Invitational,"Mar 16, 2018"
20,21,"Thomas, Hudson",SR-4,Wheaton (Ill.),10:11.09,NCC Gregory Final Qualifier,"May 16, 2018"
21,22,"Cotton, Dan",SR-4,Carthage,10:11.58,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
22,23,"Wiggin, Dan",SR-4,Elmhurst,10:14.33,CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Danko, Jaeden",FR-1,Illinois Wesleyan,10:20.51,Monmouth Midweek,"Apr 24, 2018"
24,25,"Todd-Middleditch, Stuart",FR-1,North Central (Ill.),10:24.31,2018 Don Church Twilight,"Apr 21, 2018"
