,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Roeske, Hannah",FR-1,Wheaton (Ill.),10:23.26,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
1,2,"Hawthorne, Ellie",SR-4,Wheaton (Ill.),10:43.77,NCC Gregory Final Qualifier,"May 16, 2018"
2,3,"Scopp, Madelyn",SO-2,North Central (Ill.),11:09.51,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Barajas, Dianne",JR-3,North Central (Ill.),11:26.57,North Central College Dr. Keeler Meet,"May 10, 2018"
4,5,"Barnes, Laura",JR-3,Wheaton (Ill.),11:32.26,Augustana Viking Olympics,"Mar 29, 2018"
5,6,"Henz, Alexis",FR-1,North Central (Ill.),11:40.34,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Rohn, Jamie",SR-4,North Central (Ill.),11:42.00,NCC Gregory Final Qualifier,"May 16, 2018"
7,8,"Galvan, Cecelia",SO-2,Illinois Wesleyan,11:45.43,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Setran, Anna Joy",FR-1,Wheaton (Ill.),11:45.47,CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Wolke, Isabella",FR-1,Elmhurst,11:57.08,CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Hartman, Belle",JR-3,Augustana (Ill.),12:00.40,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Reese, Megan",JR-3,Carroll,12:06.77,CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Hawthorne, Brianna",FR-1,Wheaton (Ill.),12:08.82,Augustana Viking Olympics,"Mar 29, 2018"
13,14,"Krol, Natalie",SO-2,Millikin,12:15.71,True Blue Twilight,"Apr 27, 2018"
14,15,"Manning, Annika",SR-4,North Park,12:28.62,CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Egan, Carly",SO-2,Carthage,12:29.35,St. Norbert Quad,"Apr 28, 2018"
16,17,"Moxley, Morgan",FR-1,Wheaton (Ill.),12:36.15,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"McKinnon, Kathryn",SO-2,Carthage,12:37.89,CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Berlet, Jenna",FR-1,Carroll,12:43.29,CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Humecke, Jill",SO-2,Augustana (Ill.),12:47.05,Benedictine Relays and Invitational,"Apr 13, 2018"
20,21,"Lilly, Emily",FR-1,Carthage,12:51.02,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
21,22,"Lechtenberg, Jessica",JR-3,Augustana (Ill.),12:53.23,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
22,23,"Kloehn, Hannah",SO-2,Carroll,13:04.28,St. Norbert Quad,"Apr 28, 2018"
23,24,"Koszewski, Claire",SO-2,Augustana (Ill.),13:16.96,CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Menegon, Erin",JR-3,Carroll,13:17.08,St. Norbert Quad,"Apr 28, 2018"
