,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Yamamoto, Josh",SR-4,Augustana (Ill.),51.45,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
1,2,"Piron, Peyton",JR-3,North Central (Ill.),51.95,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
2,3,"Sommers, Clayton",JR-3,Augustana (Ill.),53.22,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Henry, Matthew",SR-4,Augustana (Ill.),55.24,CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Hilton, Kyle",JR-3,North Central (Ill.),55.40,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Collins, Dalton",SO-2,Millikin,55.41,CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Cernek, Gavin",SO-2,North Central (Ill.),55.91,CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Barrio, Jose",SO-2,North Park,56.11,CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Musgrave, Erik",SO-2,North Central (Ill.),57.09,2018 Wheaton Invitational,"Apr 7, 2018"
9,10,"Cervantes, Nic",SO-2,Augustana (Ill.),57.48,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
10,11,"Marcy, Brandon",JR-3,Augustana (Ill.),57.64,CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Horn, David",SO-2,Illinois Wesleyan,58.12,Monmouth Midweek,"Apr 24, 2018"
12,13,"Smith, Riley",FR-1,Augustana (Ill.),58.15,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
13,14,"Couch, Peyton",FR-1,Augustana (Ill.),58.32,Augustana Twilight,"May 17, 2018"
14,15,"Margason, Andy",SO-2,Wheaton (Ill.),58.59,Beloit Relays,"Apr 28, 2018"
15,16,"Peneycad, Matt",SR-4,Wheaton (Ill.),59.89,NCC Gregory Final Qualifier,"May 16, 2018"
16,17,"Wills, Trevor",SO-2,Carthage,1:00.68,CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Bauer, Jared",FR-1,Carthage,1:00.69,2018 Wheaton Invitational,"Apr 7, 2018"
18,19,"Cabrera, Paul",FR-1,Augustana (Ill.),1:02.65,Augustana Viking Olympics,"Mar 29, 2018"
19,20,"Feula, Antonio",SO-2,Illinois Wesleyan,1:03.75,Rhodes Invitational,"Mar 16, 2018"
20,21,"Bornstien, Daniel",FR-1,Augustana (Ill.),1:03.88,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
