,,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE
0,1,"Roeske, Hannah",FR-1,Wheaton (Ill.),16:47.95,"Hillsdale ""GINA"" Relays - 52nd Edition","Apr 26, 2018"
1,2,"Casey, Abby",SO-2,Augustana (Ill.),17:37.47,North Central College Dr. Keeler Meet,"May 10, 2018"
2,3,"Drake, Victoria",SR-4,Illinois Wesleyan,17:38.08,2018 Wash U Invite,"Mar 31, 2018"
3,4,"Scopp, Madelyn",SO-2,North Central (Ill.),17:39.25,2018 Don Church Twilight,"Apr 21, 2018"
4,5,"Embretson, Aryn",JR-3,Wheaton (Ill.),17:43.26,Augustana Viking Olympics,"Mar 29, 2018"
5,6,"Bailey, Megan",JR-3,Wheaton (Ill.),17:55.14,North Central College Dr. Keeler Meet,"May 10, 2018"
6,7,"Oechsle, Hannah",SO-2,Wheaton (Ill.),17:55.32,North Central College Dr. Keeler Meet,"May 10, 2018"
7,8,"Hawthorne, Ellie",SR-4,Wheaton (Ill.),17:59.22,2018 Wheaton Invitational,"Apr 7, 2018"
8,9,"O'Donnell, Clare",SR-4,Illinois Wesleyan,18:03.09,2018 Wash U Invite,"Mar 31, 2018"
9,10,"Penn, Hannah",JR-3,Augustana (Ill.),18:41.60,Augustana Viking Olympics,"Mar 29, 2018"
10,11,"Mocogni, Monica",SR-4,Illinois Wesleyan,18:47.02,2018 Don Church Twilight,"Apr 21, 2018"
11,12,"McMahon, Riley",FR-1,Carthage,18:52.06,NCC Gregory Final Qualifier,"May 16, 2018"
12,13,"Swietlik, Clare",SR-4,Carroll,18:52.60,Bellarmine Classic 2018,"Apr 21, 2018"
13,14,"Galvan, Cecelia",SO-2,Illinois Wesleyan,18:54.38,2018 Don Church Twilight,"Apr 21, 2018"
14,15,"Vanord, Kaylie",SR-4,Carthage,18:57.71,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
15,16,"Renihan, Mackenzie",JR-3,Augustana (Ill.),19:00.26,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
16,17,"Kaefring, Rebecca",JR-3,North Central (Ill.),19:05.97,NCC Gregory Final Qualifier,"May 16, 2018"
17,18,"McLaughlin, Allyson",SO-2,North Central (Ill.),19:11.06,North Central College Dr. Keeler Meet,"May 10, 2018"
18,19,"Cole, Jillian",SR-4,Illinois Wesleyan,19:11.82,Greenville Select,"Apr 14, 2018"
19,20,"Jones, Amanda",FR-1,Carroll,19:13.58,Bellarmine Classic 2018,"Apr 21, 2018"
20,21,"Hartman, Allison",SR-4,North Central (Ill.),19:14.58,NCC Gregory Final Qualifier,"May 16, 2018"
21,22,"VanAntwerp, Joycelyn",FR-1,Millikin,19:17.23,True Blue Twilight,"Apr 27, 2018"
22,23,"Jourdan, Emma",FR-1,North Central (Ill.),19:19.95,Augustana Viking Olympics,"Mar 29, 2018"
23,24,"Melone, Sarah",SR-4,Elmhurst,19:22.34,2018 Cougar Invitational,"Apr 20, 2018"
24,25,"Schoenecker, Rachel",SO-2,Illinois Wesleyan,19:27.25,Rhodes Invitational,"Mar 16, 2018"
