,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Barbian, Kevin",SR-4,Augustana (Ill.),49.85m,"163' 6""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
1,2,"Austin, Aaron",FR-1,Carthage,48.16m,"158' 0""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
2,3,"Lundquist, Caleb",SR-4,North Central (Ill.),48.01m,"157' 6""",2018 Don Church Twilight,"Apr 21, 2018"
3,4,"Ehlers, Ethan",SR-4,Augustana (Ill.),47.30m,"155' 2""",Augustana Viking Olympics,"Mar 29, 2018"
4,5,"Steichmann, Nick",SR-4,Augustana (Ill.),45.73m,"150' 0""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
5,6,"Menard, Jacob",SR-4,Carthage,43.29m,"142' 0""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Anderson, Zach",SO-2,Illinois Wesleyan,42.89m,"140' 8""",Monmouth Midweek,"Apr 24, 2018"
7,8,"King, Keith Jr.",SR-4,Augustana (Ill.),41.51m,"136' 2""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Meador, Nate",FR-1,Carthage,40.79m,"133' 10""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
9,10,"Smith, Drew",SO-2,Wheaton (Ill.),40.75m,"133' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Boyko, Jacob",SO-2,Elmhurst,40.62m,"133' 3""",2018 Cougar Invitational,"Apr 20, 2018"
11,12,"Mora, Ricardo",SO-2,Elmhurst,40.44m,"132' 8""",2018 Cougar Invitational,"Apr 20, 2018"
12,13,"McDonald, Ryan",SR-4,Millikin,40.19m,"131' 10""",Big Blue Alumni Invitational,"Apr 7, 2018"
13,14,"Bellafiore, Joe",SR-4,Augustana (Ill.),39.48m,"129' 6""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
14,15,"Orchard, Colin",SO-2,Illinois Wesleyan,38.67m,"126' 10""",Rhodes Invitational,"Mar 16, 2018"
15,16,"Hays, Caleb",SO-2,Carthage,38.58m,"126' 7""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Knox, Jacob",FR-1,Augustana (Ill.),38.30m,"125' 8""",Augustana Viking Olympics,"Mar 29, 2018"
17,18,"Smith, Robert",SO-2,Wheaton (Ill.),37.88m,"124' 3""",2018 Wheaton Invitational,"Apr 7, 2018"
18,19,"Murray, Kemond",FR-1,Millikin,37.27m,"122' 3""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),36.82m,"120' 10""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
20,21,"Ritter, Tex",SR-4,Wheaton (Ill.),36.77m,"120' 8""",2018 Wheaton Invitational,"Apr 7, 2018"
21,22,"Hibben, Jake",SO-2,Wheaton (Ill.),35.88m,"117' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Torrez, Diego",FR-1,Carthage,35.44m,"116' 3""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Dahlager, Jonathan",SO-2,Wheaton (Ill.),35.20m,"115' 6""",2018 Don Church Twilight,"Apr 21, 2018"
24,25,"Passarelli, Geno",JR-3,Elmhurst,35.12m,"115' 3""",2018 EIU Big Blue Classic,"Mar 30, 2018"
