,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Slowek, Elanta",SR-4,Carthage,47.57m,"156' 1""",Augustana Twilight,"May 17, 2018"
1,2,"Schmidt, Sarah",SO-2,Carthage,46.97m,"154' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Bennett, Mia",SR-4,Carthage,46.80m,"153' 6""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
3,4,"Willis, Elizabeth",SO-2,Carthage,42.73m,"140' 2""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
4,5,"Blair, Ayana",FR-1,Illinois Wesleyan,42.55m,"139' 7""",Augustana Twilight,"May 17, 2018"
5,6,"Yamane, Naomi",JR-3,North Central (Ill.),40.98m,"134' 5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Bicknase, Rachel",FR-1,Carthage,40.72m,"133' 7""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
7,8,"Nicolau, Alicia",SR-4,Carthage,39.67m,"130' 2""",St. Norbert Quad,"Apr 28, 2018"
8,9,"Goodman, Karly",SR-4,Illinois Wesleyan,39.61m,"129' 11""",True Blue Twilight,"Apr 27, 2018"
9,10,"Schwager, Gia",FR-1,Augustana (Ill.),38.23m,"125' 5""",Augustana Twilight,"May 17, 2018"
10,11,"Riccolo, Mia",JR-3,North Park,37.27m,"122' 3""",Beloit Relays,"Apr 28, 2018"
11,12,"Considine, Heidi",FR-1,Wheaton (Ill.),34.98m,"114' 9""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Niebrugge, Brianna",FR-1,Millikin,34.47m,"113' 1""",True Blue Twilight,"Apr 27, 2018"
13,14,"Webster, Emily",SR-4,Augustana (Ill.),34.26m,"112' 5""",Augustana Viking Olympics,"Mar 29, 2018"
14,15,"Chambers, Riley",FR-1,North Central (Ill.),33.80m,"110' 11""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Lippert, Brieanne",JR-3,North Park,33.72m,"110' 7""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Milschewski, Kathryn",FR-1,Carthage,33.32m,"109' 4""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
17,18,"Olson, Morgan",FR-1,Carroll,33.12m,"108' 8""",Bellarmine Classic 2018,"Apr 21, 2018"
18,19,"Sikora, Taylor",JR-3,North Central (Ill.),32.96m,"108' 2""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Tangney, Courtney",SO-2,Carroll,32.67m,"107' 2""",St. Norbert Quad,"Apr 28, 2018"
20,21,"Dunnam, Erika",SO-2,Carroll,32.65m,"107' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Johnson, Gwyn",FR-1,Carthage,32.23m,"105' 9""",Benedictine Invitational,"Apr 7, 2018"
22,23,"Oliver, Rachel",FR-1,Augustana (Ill.),32.16m,"105' 6""",Augustana Twilight,"May 17, 2018"
23,24,"Gambol, Anna",FR-1,Millikin,31.78m,"104' 3""",Big Blue Alumni Invitational,"Apr 7, 2018"
24,25,"Noguchi, Piilani",FR-1,North Central (Ill.),30.09m,"98' 9""",2018 Don Church Twilight,"Apr 21, 2018"
