,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Wheeler, Cody",JR-3,Augustana (Ill.),63.14m,"207' 2""",Augustana Twilight,"May 17, 2018"
1,2,"Menard, Jacob",SR-4,Carthage,53.07m,"174' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Anderson, Zach",SO-2,Illinois Wesleyan,51.45m,"168' 9""",DePauw Outdoor Invitational,"Apr 7, 2018"
3,4,"Barbian, Kevin",SR-4,Augustana (Ill.),46.99m,"154' 2""",UW-Platteville Open,"Apr 7, 2018"
4,5,"Orchard, Colin",SO-2,Illinois Wesleyan,46.29m,"151' 10""",Monmouth Midweek,"Apr 24, 2018"
5,6,"Austin, Aaron",FR-1,Carthage,45.81m,"150' 3""",St. Norbert Quad,"Apr 28, 2018"
6,7,"Williiams, Jake",JR-3,Illinois Wesleyan,45.67m,"149' 10""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Olenjniczak, Vince",JR-3,North Central (Ill.),44.59m,"146' 3""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"McDonald, Ryan",SR-4,Millikin,43.81m,"143' 9""",Greenville Select,"Apr 14, 2018"
9,10,"Hays, Caleb",SO-2,Carthage,42.85m,"140' 7""",St. Norbert Quad,"Apr 28, 2018"
10,11,"Manikham, Andrew",JR-3,Carroll,42.25m,"138' 7""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Bellafiore, Joe",SR-4,Augustana (Ill.),41.96m,"137' 8""",Augustana Viking Olympics,"Mar 29, 2018"
12,13,"Meador, Nate",FR-1,Carthage,41.62m,"136' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Davies, Ian",SO-2,Carroll,40.34m,"132' 4""",Wisconsin Private College Championships,"Apr 7, 2018"
14,15,"Roche, Jack",SO-2,Augustana (Ill.),39.98m,"131' 2""",Augustana Twilight,"May 17, 2018"
15,16,"Mora, Ricardo",SO-2,Elmhurst,39.26m,"128' 10""",Benedictine Relays and Invitational,"Apr 13, 2018"
16,17,"Diaz, Myles",JR-3,North Central (Ill.),39.14m,"128' 5""",University of Dubuque Invitational,"Apr 21, 2018"
17,18,"Torrez, Diego",FR-1,Carthage,39.09m,"128' 3""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Saunders, Keneniah",SR-4,Augustana (Ill.),38.31m,"125' 8""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
19,20,"Long, Dalton",SO-2,Millikin,36.58m,"120' 0""",Greenville Select,"Apr 14, 2018"
20,21,"Murray, Kemond",FR-1,Millikin,36.24m,"118' 11""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Grant, Ryan",FR-1,North Central (Ill.),36.21m,"118' 9""",2018 Wash U Invite,"Mar 31, 2018"
22,23,"Ciesla, Andy",SO-2,Elmhurst,36.19m,"118' 9""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Perkins, Ian",SO-2,Elmhurst,32.59m,"106' 11""",Beloit Relays,"Apr 28, 2018"
24,25,"Kirk, Robert",JR-3,Millikin,31.17m,"102' 3""",Big Blue Alumni Invitational,"Apr 7, 2018"
