,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Bennett, Mia",SR-4,Carthage,59.68m,"195' 10""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
1,2,"Goodman, Karly",SR-4,Illinois Wesleyan,53.52m,"175' 7""",North Central College Dr. Keeler Meet,"May 10, 2018"
2,3,"Yamane, Naomi",JR-3,North Central (Ill.),52.39m,"171' 10""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
3,4,"Schmidt, Sarah",SO-2,Carthage,52.37m,"171' 10""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
4,5,"Uitenbroek, Emily",SO-2,Carroll,50.29m,"165' 0""",St. Norbert Quad,"Apr 28, 2018"
5,6,"Willis, Elizabeth",SO-2,Carthage,48.89m,"160' 5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Roman, Angela",SO-2,Illinois Wesleyan,48.72m,"159' 10""",North Central College Dr. Keeler Meet,"May 10, 2018"
7,8,"Nicolau, Alicia",SR-4,Carthage,45.94m,"150' 9""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Blair, Ayana",FR-1,Illinois Wesleyan,44.96m,"147' 6""",Monmouth Midweek,"Apr 24, 2018"
9,10,"Obermeyer, Alexis",JR-3,Millikin,42.96m,"140' 11""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Lippert, Brieanne",JR-3,North Park,41.82m,"137' 2""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Reinders, Tori",SO-2,Carroll,41.50m,"136' 2""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Webster, Emily",SR-4,Augustana (Ill.),40.20m,"131' 11""",Augustana Viking Olympics,"Mar 29, 2018"
13,14,"Stubner, Daniele",FR-1,North Central (Ill.),39.39m,"129' 3""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Sikora, Taylor",JR-3,North Central (Ill.),38.59m,"126' 7""",Lewis Twilight,"Apr 24, 2018"
15,16,"Dunnam, Erika",SO-2,Carroll,38.10m,"125' 0""",St. Norbert Quad,"Apr 28, 2018"
16,17,"Tangney, Courtney",SO-2,Carroll,38.05m,"124' 10""",St. Norbert Quad,"Apr 28, 2018"
17,18,"Chambers, Riley",FR-1,North Central (Ill.),37.82m,"124' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Reynolds, Caitlin",SR-4,Carthage,37.49m,"123' 0""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Gambol, Anna",FR-1,Millikin,37.37m,"122' 7""",Big Blue Alumni Invitational,"Apr 7, 2018"
20,21,"Oliver, Stephanie",FR-1,Millikin,37.26m,"122' 3""",True Blue Twilight,"Apr 27, 2018"
21,22,"Oliver, Rachel",FR-1,Augustana (Ill.),37.08m,"121' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Milschewski, Kathryn",FR-1,Carthage,36.80m,"120' 9""",Benedictine Invitational,"Apr 7, 2018"
23,24,"Riccolo, Mia",JR-3,North Park,35.87m,"117' 8""",Beloit Relays,"Apr 28, 2018"
24,25,"Schwager, Gia",FR-1,Augustana (Ill.),35.86m,"117' 8""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
