,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Gray, Collin",SR-4,Wheaton (Ill.),2.08m,"6' 9.75""",2018 Drake Relays presented by Hy-Vee,"Apr 25, 2018"
1,2,"LeBlanc, Michael",SO-2,North Central (Ill.),2.07m,"6' 9.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Lembke, David",SO-2,Carroll,2.03m,"6' 8""",UW La Crosse Final Qualifier,"May 17, 2018"
3,4,"Poklop, Adam",SR-4,North Central (Ill.),1.98m,"6' 6""",Bellarmine Classic 2018,"Apr 21, 2018"
4,4,"Janca, Nicholas",FR-1,North Central (Ill.),1.98m,"6' 6""",2018 Drake Relays presented by Hy-Vee,"Apr 25, 2018"
5,6,"Henderson, Laurence",SO-2,Illinois Wesleyan,1.97m,"6' 5.5""",2018 Don Church Twilight,"Apr 21, 2018"
6,6,"Thornton, Ryan",FR-1,Augustana (Ill.),1.97m,"6' 5.5""",Augustana Twilight,"May 17, 2018"
7,8,"Mathew, Stephen",SO-2,Wheaton (Ill.),1.92m,"6' 3.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,8,"Foster, Patrick",JR-3,Illinois Wesleyan,1.92m,"6' 3.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),1.87m,"6' 1.5""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
10,10,"Sears, Gage",JR-3,Augustana (Ill.),1.87m,"6' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,10,"Burns, Tyler",JR-3,Augustana (Ill.),1.87m,"6' 1.5""",Augustana Twilight,"May 17, 2018"
12,13,"Koeckeritz, Mitchell",FR-1,North Park,1.83m,"6' 0""",Beloit Relays,"Apr 28, 2018"
13,13,"Hughes, Tyler",SO-2,North Park,1.83m,"6' 0""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Mahaffey, Jake",FR-1,Illinois Wesleyan,1.82m,"5' 11.5""",Monmouth Midweek,"Apr 24, 2018"
15,16,"Dorsen, Nick",SR-4,Carthage,1.80m,"5' 10.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Adams, Andrew",SR-4,Augustana (Ill.),1.78m,"5' 10""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
17,18,"Sheehan, Sean",FR-1,Augustana (Ill.),1.77m,"5' 9.75""",Augustana Twilight,"May 17, 2018"
18,19,"Niksich, Cole",FR-1,Carthage,1.72m,"5' 7.75""",2018 Wheaton Invitational,"Apr 7, 2018"
19,20,"Avanthsa, Urvaksh",FR-1,Augustana (Ill.),1.70m,"5' 7""",UW-Platteville Open,"Apr 7, 2018"
20,21,"Krueger, Brad",SR-4,Carthage,1.68m,"5' 6""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
21,21,"Donovan, Kevin",SO-2,Augustana (Ill.),1.68m,"5' 6""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
22,23,"Johnson, Alex",SO-2,Millikin,1.62m,"5' 3.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Couch, Peyton",FR-1,Augustana (Ill.),1.59m,"5' 2.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,24,"Smith, Robert",SO-2,Wheaton (Ill.),1.59m,"5' 2.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
