,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"McGraw, Molly",SR-4,Illinois Wesleyan,1.69m,"5' 6.5""",DePauw Outdoor Invitational,"Apr 7, 2018"
1,2,"Lindquist, Katie",JR-3,Wheaton (Ill.),1.65m,"5' 5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,2,"Slowek, Elanta",SR-4,Carthage,1.65m,"5' 5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Gallisath, Taiah",SO-2,North Central (Ill.),1.64m,"5' 4.5""",NCC Gregory Final Qualifier,"May 16, 2018"
4,5,"Kitchen, Nicole",SR-4,Wheaton (Ill.),1.62m,"5' 3.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Hogenkamp, Audrey",JR-3,Augustana (Ill.),1.60m,"5' 3""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Ramming, Veronica",JR-3,North Central (Ill.),1.56m,"5' 1.25""",North Central College Dr. Keeler Meet,"May 10, 2018"
7,8,"White, Tyrani",FR-1,Carthage,1.55m,"5' 1""",St. Norbert Quad,"Apr 28, 2018"
8,9,"Dammeier, Hailey",JR-3,North Central (Ill.),1.53m,"5' 0.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,9,"Matzal, Charlotte",SO-2,Wheaton (Ill.),1.53m,"5' 0.25""",Lewis Twilight,"Apr 24, 2018"
10,11,"Tesch, Aubrey",FR-1,Carthage,1.52m,"4' 11.75""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
11,12,"Harmon, Brooke",SO-2,Augustana (Ill.),1.50m,"4' 11""",Augustana Viking Olympics,"Mar 29, 2018"
12,12,"Fischer, Sierra",SO-2,Carroll,1.50m,"4' 11""",Wisconsin Private College Championships,"Apr 7, 2018"
13,14,"McCarthy, Molly",FR-1,Carthage,1.45m,"4' 9""",St. Norbert Quad,"Apr 28, 2018"
14,15,"Sanders, Makenna",SR-4,Wheaton (Ill.),1.44m,"4' 8.75""",NCC Gregory Final Qualifier,"May 16, 2018"
15,16,"Foxhoven, Cassidy",JR-3,Wheaton (Ill.),1.41m,"4' 7.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Gragg, Jasmine",FR-1,North Central (Ill.),1.40m,"4' 7""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Hubbard, Emma",FR-1,Carthage,1.37m,"4' 6""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
18,19,"Dolan, Dani",SR-4,Carthage,1.35m,"4' 5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Hartwig, Jessi",SR-4,Carroll,1.30m,"4' 3.25""",Wisconsin Private College Championships,"Apr 7, 2018"
20,21,"Donnelly, Erin",FR-1,North Central (Ill.),1.26m,"4' 1.5""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
