,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Lundquist, Caleb",SR-4,North Central (Ill.),61.28m,"201' 0""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Mammosser, Jake",JR-3,Elmhurst,56.42m,"185' 1""",North Central College Dr. Keeler Meet,"May 10, 2018"
2,3,"Ganson, Ryan",SO-2,Augustana (Ill.),55.78m,"183' 0""",Augustana Twilight,"May 17, 2018"
3,4,"O'Carroll, Sean",SR-4,Illinois Wesleyan,52.19m,"171' 3""",Greenville Select,"Apr 14, 2018"
4,5,"Adams, Andrew",SR-4,Augustana (Ill.),52.13m,"171' 0""",NCC Gregory Final Qualifier,"May 16, 2018"
5,6,"Robley, Jim",JR-3,Elmhurst,52.01m,"170' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Doran, Liam",FR-1,North Central (Ill.),49.23m,"161' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Hughes, Tyler",SO-2,North Park,49.07m,"161' 0""",2018 Cougar Invitational,"Apr 20, 2018"
8,9,"Krueger, Brad",SR-4,Carthage,48.01m,"157' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Manikham, Andrew",JR-3,Carroll,46.67m,"153' 1""",Bellarmine Classic 2018,"Apr 21, 2018"
10,11,"Vorobiev, Brendan",SR-4,Augustana (Ill.),46.38m,"152' 2""",North Central College Dr. Keeler Meet,"May 10, 2018"
11,12,"Paolina, Joey",SO-2,Wheaton (Ill.),45.10m,"147' 11""",North Central College Dr. Keeler Meet,"May 10, 2018"
12,13,"Boyko, Jacob",SO-2,Elmhurst,44.89m,"147' 3""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Taylor, Zach",SR-4,Elmhurst,44.04m,"144' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Zeller, James",SO-2,Wheaton (Ill.),43.68m,"143' 4""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Smith, Robert",SO-2,Wheaton (Ill.),43.58m,"143' 0""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Koeckeritz, Mitchell",FR-1,North Park,42.93m,"140' 10""",2018 Cougar Invitational,"Apr 20, 2018"
17,18,"Mageria, Nathan",FR-1,Augustana (Ill.),42.54m,"139' 7""",Augustana Twilight,"May 17, 2018"
18,19,"Michalowski, Ty",FR-1,Carroll,42.48m,"139' 4""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,19,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),42.48m,"139' 4""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
20,21,"Harter, Austin",SO-2,Carroll,42.41m,"139' 2""",St. Norbert Quad,"Apr 28, 2018"
21,22,"Ruble, Nate",SR-4,Wheaton (Ill.),41.79m,"137' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,23,"Wombacher, Michael",SR-4,Illinois Wesleyan,41.27m,"135' 5""",DePauw Outdoor Invitational,"Apr 7, 2018"
23,24,"Davies, Joey",FR-1,Millikin,40.60m,"133' 2""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Hickey, Michael",FR-1,Augustana (Ill.),40.49m,"132' 10""",Augustana Twilight,"May 17, 2018"
