,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Goodman, Karly",SR-4,Illinois Wesleyan,43.90m,"144' 0""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
1,2,"Slowek, Elanta",SR-4,Carthage,43.71m,"143' 5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Stubner, Daniele",FR-1,North Central (Ill.),36.31m,"119' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Adams, Caitlyn",SO-2,Carroll,35.58m,"116' 9""",St. Norbert Quad,"Apr 28, 2018"
4,5,"Ehresman, Rebekah",SR-4,Illinois Wesleyan,35.08m,"115' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Parker, Eden",SR-4,Wheaton (Ill.),34.47m,"113' 1""",NCC Gregory Final Qualifier,"May 16, 2018"
6,7,"Sanders, Makenna",SR-4,Wheaton (Ill.),34.46m,"113' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Ruud, Elise",SO-2,North Park,34.36m,"112' 9""",2018 Cougar Invitational,"Apr 20, 2018"
8,9,"Harmon, Brooke",SO-2,Augustana (Ill.),34.29m,"112' 6""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
9,10,"Uitenbroek, Emily",SO-2,Carroll,33.88m,"111' 2""",Bellarmine Classic 2018,"Apr 21, 2018"
10,11,"Riccolo, Mia",JR-3,North Park,31.45m,"103' 2""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Curry, Ella",FR-1,Wheaton (Ill.),31.30m,"102' 8""",2018 Don Church Twilight,"Apr 21, 2018"
12,13,"Dunnam, Erika",SO-2,Carroll,30.95m,"101' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"McStravick, Sydni",SO-2,Illinois Wesleyan,30.27m,"99' 4""",Monmouth Midweek,"Apr 24, 2018"
14,15,"O'Connell, Grace",FR-1,Wheaton (Ill.),29.89m,"98' 1""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Gambol, Anna",FR-1,Millikin,29.36m,"96' 4""",True Blue Twilight,"Apr 27, 2018"
16,17,"Dolan, Dani",SR-4,Carthage,29.32m,"96' 2""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
17,18,"Hartman, Belle",JR-3,Augustana (Ill.),29.01m,"95' 2""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
18,19,"Juarez, Selena",SO-2,North Central (Ill.),28.45m,"93' 4""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Eberle, Josie",FR-1,Carroll,28.18m,"92' 5""",St. Norbert Quad,"Apr 28, 2018"
20,21,"Dammeier, Hailey",JR-3,North Central (Ill.),27.96m,"91' 9""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Mehnert, Hannah",FR-1,Carroll,27.41m,"89' 11""",Wisconsin Private College Championships,"Apr 7, 2018"
22,23,"Tonin, Susan",SR-4,Illinois Wesleyan,26.78m,"87' 10""",DePauw Outdoor Invitational,"Apr 7, 2018"
23,24,"Hartwig, Jessi",SR-4,Carroll,26.45m,"86' 9""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Kitchen, Nicole",SR-4,Wheaton (Ill.),26.36m,"86' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
