,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Aldridge, Travon",SR-4,Augustana (Ill.),7.11m,"23' 4""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,2,"Kunkel, Javon",SO-2,North Central (Ill.),7.09m,"23' 3.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Garner, Shawntrel",SR-4,Carthage,7.01m,"23' 0""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Rubarts, Tyler",SR-4,Augustana (Ill.),6.94m,"22' 9.25""",Augustana Twilight,"May 17, 2018"
4,5,"Brown, Isaiah",SO-2,Carthage,6.91m,"22' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Murphy, Evan",SR-4,Augustana (Ill.),6.86m,"22' 6.25""",Augustana Twilight,"May 17, 2018"
6,7,"Stuttle, Nick",SO-2,North Central (Ill.),6.79m,"22' 3.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Potter, Max",SR-4,North Park,6.78m,"22' 3""",Benedictine Relays and Invitational,"Apr 13, 2018"
8,9,"Dwight, Daniel",FR-1,North Park,6.69m,"21' 11.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Gieson, Jonathan",SO-2,North Central (Ill.),6.66m,"21' 10.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Adams, Andrew",SR-4,Augustana (Ill.),6.53m,"21' 5.25""",NCC Gregory Final Qualifier,"May 16, 2018"
11,12,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),6.48m,"21' 3.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Barrio, Jose",SO-2,North Park,6.47m,"21' 2.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Gilbert, David",FR-1,Carroll,6.39m,"20' 11.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,14,"Worby, Bryan",JR-3,Illinois Wesleyan,6.39m,"20' 11.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Harter, Austin",SO-2,Carroll,6.38m,"20' 11.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Janca, Nicholas",FR-1,North Central (Ill.),6.27m,"20' 7""",NCC Gregory Final Qualifier,"May 16, 2018"
17,18,"Krueger, Brad",SR-4,Carthage,6.24m,"20' 5.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Keleher, Brandon",SO-2,Augustana (Ill.),6.22m,"20' 5""",Augustana Twilight,"May 17, 2018"
19,20,"Burns, Tyler",JR-3,Augustana (Ill.),6.20m,"20' 4.25""",UW-Platteville Open,"Apr 7, 2018"
20,20,"McQuaid, Wesley",SR-4,North Central (Ill.),6.20m,"20' 4.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Smith, Robert",SO-2,Wheaton (Ill.),6.15m,"20' 2.25""",Lewis Twilight,"Apr 24, 2018"
22,23,"Sears, Gage",JR-3,Augustana (Ill.),6.10m,"20' 0.25""",Augustana Twilight,"May 17, 2018"
23,24,"Margason, Andy",SO-2,Wheaton (Ill.),6.07m,"19' 11""",Benedictine Relays and Invitational,"Apr 13, 2018"
24,25,"Couch, Peyton",FR-1,Augustana (Ill.),5.99m,"19' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
