,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Glueck, Amelia",SR-4,Illinois Wesleyan,6.05m,"19' 10.25""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
1,2,"Ezewuzie, Favor",SO-2,Wheaton (Ill.),5.85m,"19' 2.5""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
2,3,"Blackwell, Brea",FR-1,Millikin,5.53m,"18' 1.75""",2018 EIU Big Blue Classic,"Mar 30, 2018"
3,3,"Lee, Nia",FR-1,Illinois Wesleyan,5.53m,"18' 1.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Dolan, Dani",SR-4,Carthage,5.49m,"18' 0.25""",NCC Gregory Final Qualifier,"May 16, 2018"
5,6,"Wilkinson, Cora",FR-1,Illinois Wesleyan,5.47m,"17' 11.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Proksa, Ashley",SO-2,Carthage,5.33m,"17' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Papke, Amanda",JR-3,North Park,5.32m,"17' 5.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Furio, Faith",JR-3,North Park,5.31m,"17' 5.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"White, Tyrani",FR-1,Carthage,5.23m,"17' 2""",2018 Wheaton Invitational,"Apr 7, 2018"
10,11,"Kitchen, Nicole",SR-4,Wheaton (Ill.),5.20m,"17' 0.75""",2018 Don Church Twilight,"Apr 21, 2018"
11,12,"Osoba, Rachel",JR-3,Illinois Wesleyan,5.19m,"17' 0.5""",Rhodes Invitational,"Mar 16, 2018"
12,13,"Williams, Shante",SR-4,Illinois Wesleyan,5.06m,"16' 7.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Kainrath, Lauren",FR-1,North Central (Ill.),5.04m,"16' 6.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Sanders, Makenna",SR-4,Wheaton (Ill.),5.03m,"16' 6""",NCC Gregory Final Qualifier,"May 16, 2018"
15,16,"Squier, Kaitlin",JR-3,Carroll,5.02m,"16' 5.75""",St. Norbert Quad,"Apr 28, 2018"
16,17,"Foxhoven, Cassidy",JR-3,Wheaton (Ill.),4.99m,"16' 4.5""",2018 Wheaton Invitational,"Apr 7, 2018"
17,18,"Donnelly, Erin",FR-1,North Central (Ill.),4.89m,"16' 0.5""",North Central College Dr. Keeler Meet,"May 10, 2018"
18,19,"Jones, Arianna",FR-1,North Central (Ill.),4.88m,"16' 0.25""",North Central College Dr. Keeler Meet,"May 10, 2018"
19,20,"Meyer, Maddie",FR-1,Millikin,4.85m,"15' 11""",Big Blue Alumni Invitational,"Apr 7, 2018"
20,21,"Happold, McKenna",SO-2,Carroll,4.83m,"15' 10.25""",St. Norbert Quad,"Apr 28, 2018"
21,22,"Horak, Carly",FR-1,North Central (Ill.),4.76m,"15' 7.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
22,22,"Gallisath, Taiah",SO-2,North Central (Ill.),4.76m,"15' 7.5""",Benedictine Relays and Invitational,"Apr 13, 2018"
23,24,"Rippel, Celina",FR-1,Augustana (Ill.),4.66m,"15' 3.5""",UW-Platteville Open,"Apr 7, 2018"
24,24,"Fischer, Sierra",SO-2,Carroll,4.66m,"15' 3.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
