,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Winder, Luke",SR-4,North Central (Ill.),5.60m,"18' 4.5""",North Central College Dr. Keeler Meet,"May 10, 2018"
1,2,"Kuipers, Dylan",SR-4,North Central (Ill.),5.11m,"16' 9.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Bradley, David",FR-1,Wheaton (Ill.),4.61m,"15' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,3,"Wood, Casey",JR-3,North Central (Ill.),4.61m,"15' 1.5""",NCC Gregory Final Qualifier,"May 16, 2018"
4,3,"Atwell, Arthur",JR-3,Augustana (Ill.),4.61m,"15' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Bradley, Peter",SO-2,Wheaton (Ill.),4.55m,"14' 11""",Beloit Relays,"Apr 28, 2018"
6,7,"Kett, Ethan",SO-2,Illinois Wesleyan,4.46m,"14' 7.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Cruz, Nathan",JR-3,Wheaton (Ill.),4.31m,"14' 1.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,8,"Potter, Max",SR-4,North Park,4.31m,"14' 1.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,8,"Vanderheyden, Mark",JR-3,Augustana (Ill.),4.31m,"14' 1.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),4.30m,"14' 1.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,11,"Crompton, Patrick",JR-3,Augustana (Ill.),4.30m,"14' 1.25""",Augustana Twilight,"May 17, 2018"
12,11,"Krueger, Brad",SR-4,Carthage,4.30m,"14' 1.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Donovan, Kevin",SO-2,Augustana (Ill.),4.15m,"13' 7.25""",Augustana Twilight,"May 17, 2018"
14,15,"Baus, Kyle",FR-1,Augustana (Ill.),4.10m,"13' 5.25""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
15,16,"O'Carroll, Sean",SR-4,Illinois Wesleyan,4.05m,"13' 3.5""",2018 Don Church Twilight,"Apr 21, 2018"
16,17,"Peterson, AJ",FR-1,Carroll,4.01m,"13' 1.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Smith, Sebastian",SO-2,Millikin,3.90m,"12' 9.5""",True Blue Twilight,"Apr 27, 2018"
18,19,"Couch, Peyton",FR-1,Augustana (Ill.),3.70m,"12' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
19,20,"Adams, Andrew",SR-4,Augustana (Ill.),3.60m,"11' 9.75""",NCC Gregory Final Qualifier,"May 16, 2018"
20,21,"Smith, Robert",SO-2,Wheaton (Ill.),3.50m,"11' 5.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Harris, David",SR-4,Wheaton (Ill.),3.45m,"11' 3.75""",2018 Don Church Twilight,"Apr 21, 2018"
22,23,"Hughes, Tyler",SO-2,North Park,3.30m,"10' 10""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Dorsen, Nick",SR-4,Carthage,2.90m,"9' 6.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Johnson, Alex",SO-2,Millikin,2.70m,"8' 10.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
