,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Ehlers, Ethan",SR-4,Augustana (Ill.),17.03m,"55' 10.5""",Augustana Viking Olympics,"Mar 29, 2018"
1,2,"Barbian, Kevin",SR-4,Augustana (Ill.),16.41m,"53' 10.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"King, Keith Jr.",SR-4,Augustana (Ill.),16.03m,"52' 7.25""",UW-Whitewater Drake Alternative,"Apr 28, 2018"
3,4,"Anderson, Zach",SO-2,Illinois Wesleyan,15.73m,"51' 7.25""",NCC Gregory Final Qualifier,"May 16, 2018"
4,5,"Menard, Jacob",SR-4,Carthage,14.97m,"49' 1.5""",St. Norbert Quad,"Apr 28, 2018"
5,6,"Austin, Aaron",FR-1,Carthage,14.77m,"48' 5.5""",St. Norbert Quad,"Apr 28, 2018"
6,7,"Sullivan, Liam",FR-1,North Central (Ill.),14.75m,"48' 4.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Smith, Drew",SO-2,Wheaton (Ill.),14.46m,"47' 5.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Hibben, Jake",SO-2,Wheaton (Ill.),13.99m,"45' 10.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Wheeler, Cody",JR-3,Augustana (Ill.),13.82m,"45' 4.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Orchard, Colin",SO-2,Illinois Wesleyan,13.56m,"44' 6""",Rhodes Invitational,"Mar 16, 2018"
11,12,"Hays, Caleb",SO-2,Carthage,13.51m,"44' 4""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
12,13,"Murray, Kemond",FR-1,Millikin,13.29m,"43' 7.25""",True Blue Twilight,"Apr 27, 2018"
13,14,"Corey, George",JR-3,North Park,13.25m,"43' 5.75""",St. Norbert Twilight,"Mar 29, 2018"
14,15,"Paolina, Joey",SO-2,Wheaton (Ill.),13.17m,"43' 2.5""",NCC Gregory Final Qualifier,"May 16, 2018"
15,16,"Michaels, David",JR-3,Elmhurst,13.06m,"42' 10.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Meador, Nate",FR-1,Carthage,12.97m,"42' 6.75""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
17,18,"Taylor, James",FR-1,North Central (Ill.),12.92m,"42' 4.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"McDonald, Ryan",SR-4,Millikin,12.91m,"42' 4.25""",Big Blue Alumni Invitational,"Apr 7, 2018"
19,20,"Acevedo, Leonardo",FR-1,North Central (Ill.),12.83m,"42' 1.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
20,21,"Bellafiore, Joe",SR-4,Augustana (Ill.),12.78m,"41' 11.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Torrez, Diego",FR-1,Carthage,12.72m,"41' 8.75""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
22,23,"Rogers, Luke",SO-2,Wheaton (Ill.),12.47m,"40' 11""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
23,24,"Van Grinsven, Leif",JR-3,Wheaton (Ill.),12.41m,"40' 8.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
24,25,"Dahlager, Jonathan",SO-2,Wheaton (Ill.),12.33m,"40' 5.5""",2018 Wheaton Invitational,"Apr 7, 2018"
