,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Murphy, Evan",SR-4,Augustana (Ill.),14.71m,"48' 3.25""",North Central College Dr. Keeler Meet,"May 10, 2018"
1,2,"Aldridge, Travon",SR-4,Augustana (Ill.),14.51m,"47' 7.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,3,"Wright, Mason",FR-1,Augustana (Ill.),14.01m,"45' 11.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Meyer, Ethan",SO-2,Millikin,13.87m,"45' 6.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Harvey, Marqus",FR-1,Illinois Wesleyan,13.53m,"44' 4.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Lyle, Garret",SO-2,North Central (Ill.),13.38m,"43' 10.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
6,7,"Johnson, Kendall",FR-1,North Central (Ill.),13.19m,"43' 3.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Kunkel, Javon",SO-2,North Central (Ill.),13.09m,"42' 11.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Rubarts, Tyler",SR-4,Augustana (Ill.),12.95m,"42' 6""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
9,10,"Mahaffey, Jake",FR-1,Illinois Wesleyan,12.79m,"41' 11.5""",Rhodes Invitational,"Mar 16, 2018"
10,11,"Frerking, Paul",FR-1,North Central (Ill.),12.76m,"41' 10.5""",Bellarmine Classic 2018,"Apr 21, 2018"
11,12,"Gilbert, David",FR-1,Carroll,12.73m,"41' 9.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
12,13,"Alsing, Nicklas",SO-2,North Park,12.58m,"41' 3.25""",St. Norbert Twilight,"Mar 29, 2018"
13,14,"Lei, Jimmy",SO-2,Carroll,12.53m,"41' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Keleher, Brandon",SO-2,Augustana (Ill.),12.43m,"40' 9.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Carlisle, Seth",SO-2,Illinois Wesleyan,12.30m,"40' 4.25""",Rhodes Invitational,"Mar 16, 2018"
16,17,"Kitchen, Michael",SO-2,Wheaton (Ill.),12.23m,"40' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,17,"Brown, Isaiah",SO-2,Carthage,12.23m,"40' 1.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Carpenter, Maxx",FR-1,Augustana (Ill.),11.45m,"37' 6.75""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
