,,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE
0,1,"Blackwell, Brea",FR-1,Millikin,11.75m,"38' 6.75""",2018 EIU Big Blue Classic,"Mar 30, 2018"
1,2,"McLaurin, Kelsey",FR-1,North Central (Ill.),11.65m,"38' 2.75""",NCC Gregory Final Qualifier,"May 16, 2018"
2,3,"Williams, Shante",SR-4,Illinois Wesleyan,11.19m,"36' 8.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,4,"Wilkinson, Cora",FR-1,Illinois Wesleyan,11.16m,"36' 7.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,5,"Lee, Nia",FR-1,Illinois Wesleyan,11.13m,"36' 6.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,6,"Niebrugge, Brianna",FR-1,Millikin,10.97m,"36' 0""",Greenville Select,"Apr 14, 2018"
6,7,"Kainrath, Lauren",FR-1,North Central (Ill.),10.95m,"35' 11.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
7,8,"Newingham, Isabella",SO-2,Millikin,10.87m,"35' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
8,9,"Meyer, Maddie",FR-1,Millikin,10.83m,"35' 6.5""",Greenville Select,"Apr 14, 2018"
9,10,"Blake, Renee",SO-2,Augustana (Ill.),10.78m,"35' 4.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
10,11,"Osoba, Rachel",JR-3,Illinois Wesleyan,10.57m,"34' 8.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
11,12,"Happold, McKenna",SO-2,Carroll,10.53m,"34' 6.75""",St. Norbert Quad,"Apr 28, 2018"
12,13,"Squier, Kaitlin",JR-3,Carroll,10.45m,"34' 3.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
13,14,"Loomis, Kate",JR-3,Carroll,10.25m,"33' 7.5""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
14,15,"Glatz, Madi",SO-2,Augustana (Ill.),10.18m,"33' 4.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
15,16,"Ifft, Anna",SR-4,Wheaton (Ill.),10.06m,"33' 0.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
16,17,"Jones, Arianna",FR-1,North Central (Ill.),10.00m,"32' 9.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
17,18,"Golden, Alyssa",FR-1,Carthage,9.86m,"32' 4.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
18,19,"Linscott, Courtney",JR-3,Wheaton (Ill.),9.39m,"30' 9.75""",2018 Don Church Twilight,"Apr 21, 2018"
19,20,"Rippel, Celina",FR-1,Augustana (Ill.),9.28m,"30' 5.5""",Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
20,21,"Guataquira, Stephanie",FR-1,North Park,9.05m,"29' 8.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
21,22,"Lading, Haylie",SR-4,Millikin,9.01m,"29' 6.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
