,PL,Team,Total Time,Avg. Time,Score,1,2,3,4,5,6,7
0,1,Illinois Cross Country Club,2:10:17,26:03,42,5,7,8,9,13,18,22
1,2,Olivet Nazarene,2:11:03,26:12,62,2,3,15,16,26,28,31
2,3,Benedictine (Ill.),2:12:09,26:25,92,1,6,17,25,43,52,61
3,4,Aurora,2:14:37,26:55,134,10,20,23,33,48,59,67
4,5,Wheaton (Ill.),2:15:01,27:00,136,12,19,34,35,36,38,51
5,6,MSOE,2:16:17,27:15,174,14,21,41,45,53,54,73
6,7,Harper College,2:17:58,27:35,209,30,40,44,46,49,58,64
7,8,Waubonsee CC,2:19:27,27:53,214,11,24,39,63,77,80,83
8,9,Illinois Tech,2:18:57,27:47,225,29,32,37,55,72,81,82
9,10,Bethel (Ind.),2:21:05,28:13,273,27,50,62,66,68,71,74
10,11,Aurora Alumni,2:26:46,29:21,284,4,42,75,78,85,,
11,12,Elmhurst,2:21:36,28:19,294,47,56,57,65,69,70,76
12,13,North Park,2:45:43,33:08,396,60,79,84,86,87,,
