,,ATHLETE,YEAR,TIME,MEET,MEET DATE
0,1084,"Thomas, Hudson",SR-4,3:57.63,Swarthmore Final Qualifier Meet,"May 14, 2018"
1,2386,"Spykstra, Seth",SR-4,4:05.01,CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,2940,"Larkin, Michael",SO-2,4:07.93,CCIW Outdoor Track & Field Championships,"May 4, 2018"
3,3288,"Brase, Noah",JR-3,4:09.77,North Central College Dr. Keeler Meet,"May 10, 2018"
4,3885,"Johnson, Soren",JR-3,4:13.00,CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,4491,"Jones, Jonah",FR-1,4:16.30,2018 Wheaton Invitational,"Apr 7, 2018"
6,4878,"Trujillo, Miles",JR-3,4:18.63,North Central College Dr. Keeler Meet,"May 10, 2018"
7,5047,"Caraway, Joe",SO-2,4:19.64,2018 Don Church Twilight,"Apr 21, 2018"
8,5198,"Adams, Grant",FR-1,4:20.69,2018 Wheaton Invitational,"Apr 7, 2018"
9,5227,"Andersen, Luke",SR-4,4:20.90,2018 Wheaton Invitational,"Apr 7, 2018"
10,5704,"Alexander, Grant",JR-3,4:24.39,2018 Wheaton Invitational,"Apr 7, 2018"
11,6384,"Van Grinsven, Leif",JR-3,4:30.25,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
12,6410,"Clark, Colbe",FR-1,4:30.50,2018 Wheaton Invitational,"Apr 7, 2018"
13,6474,"Joyce, Michael",JR-3,4:31.13,2018 Don Church Twilight,"Apr 21, 2018"
14,6532,"Wilson, Christian",FR-1,4:31.67,2018 Don Church Twilight,"Apr 21, 2018"
15,6930,"Walhout, Jacob",SR-4,4:35.97,2018 Don Church Twilight,"Apr 21, 2018"
16,7440,"Smith, Robert",SO-2,4:43.55,CCIW Outdoor Track & Field Championships,"May 4, 2018"
