,,ATHLETE,YEAR,MARK,CONV,MEET,MEET DATE
0,1239,"Smith, Drew",SO-2,40.75m,"133' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,1697,"Smith, Robert",SO-2,37.88m,"124' 3""",2018 Wheaton Invitational,"Apr 7, 2018"
2,1876,"Van Grinsven, Leif",JR-3,36.82m,"120' 10""",NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
3,1886,"Ritter, Tex",SR-4,36.77m,"120' 8""",2018 Wheaton Invitational,"Apr 7, 2018"
4,2021,"Hibben, Jake",SO-2,35.88m,"117' 8""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,2123,"Dahlager, Jonathan",SO-2,35.20m,"115' 6""",2018 Don Church Twilight,"Apr 21, 2018"
6,2254,"Harris, David",SR-4,34.27m,"112' 5""",2018 Wheaton Invitational,"Apr 7, 2018"
7,2718,"Rogers, Luke",SO-2,31.13m,"102' 1""",Augustana Viking Olympics,"Mar 29, 2018"
8,3048,"Paolina, Joey",SO-2,28.34m,"93' 0""",2018 Wheaton Invitational,"Apr 7, 2018"
9,3354,"Rogers, Sam",FR-1,24.59m,"80' 8""",Augustana Viking Olympics,"Mar 29, 2018"
