,,ATHLETE,YEAR,MARK,CONV,MEET,MEET DATE
0,780,"Smith, Drew",SO-2,14.46m,"47' 5.25""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
1,961,"Hibben, Jake",SO-2,13.99m,"45' 10.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
2,1303,"Paolina, Joey",SO-2,13.17m,"43' 2.5""",NCC Gregory Final Qualifier,"May 16, 2018"
3,1642,"Rogers, Luke",SO-2,12.47m,"40' 11""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
4,1674,"Van Grinsven, Leif",JR-3,12.41m,"40' 8.75""",CCIW Outdoor Track & Field Championships,"May 4, 2018"
5,1711,"Dahlager, Jonathan",SO-2,12.33m,"40' 5.5""",2018 Wheaton Invitational,"Apr 7, 2018"
6,2201,"Harris, David",SR-4,11.41m,"37' 5.25""",Beloit Relays,"Apr 28, 2018"
7,2305,"Smith, Robert",SO-2,11.22m,"36' 9.75""",2018 Wheaton Invitational,"Apr 7, 2018"
8,2341,"Rogers, Sam",FR-1,11.15m,"36' 7""",2018 Wheaton Invitational,"Apr 7, 2018"
9,2584,"Ritter, Tex",SR-4,10.69m,"35' 1""",Augustana Viking Olympics,"Mar 29, 2018"
